text,gold_label
"забыл проверку на force ipv6 , обновлю",0
"не разу не сработало, даже если делать несколько попыток? интересно глянуть на айпишник, на котором оно свалилось. а есть возможность поделиться айпишником на котором оно падает? если оно прям наверняка падает я бы багрепорт написал апстриму, ну и код подправлю.",0
любой адрес 6to4: 2002::,0
"я пока не могу вопроизвести, потому что из моей сети 2002:: не работает толком",0
попробуем вот так тогда,0
"эх вы, хотя бы код запустили.",-1
немного поменял код и закоммитил: commit 28c7b12 спасибо!,0
"почему nicinfo ? nic это же сетевая карта, железо. может, isp?",0
"вероятно, у вас ipv6 туннель. проверка ipv6 отключена.",0
ой это не то,0
"надо поспать уже, тороплюсь, переделаю завтра",0
еще нужно сделать параметр force ipv6 для принудительного включения. эту проверку лучше добавить в main .,0
проверил на window10 с teredo все корректно определяеться и игнорируеться и форсируеться если задать аргумент,0
вам приходят уведомления о моих комментариях к коду?,0
вам приходят уведомления о моих комментариях к коду? да все вижу,0
у вас говно влезло.,-1
"вижу уже, сейчас уберу",0
"достаточно будет нового коммита без левых файлов, если merge сделаете они не попадут из истории в репу вашу? или мне надо делать rebase уже?",-1
"достаточно, уберите их следующим коммитом просто.",0
"класс, спасибо!",0
"вам спасибо, провели по коду за руку и научили даже чему то. я не настоящий сварщик, поэтому только быдлокод получаеться, лишь бы работало",0
"лучше: : обнаружен teredo или 6to4, игнорируем.",0
"спасибо, я незнал про none и true , всегда приятно узнавать чтото новое",0
"мы его просто игнорируем, но не определяем есть ли он в системе (рядом с нативом), поэтому не совсем корректно наверно будет так писать.",0
не понял вашу мысль.,-1
"а, теперь понял, но не согласен. функция должна возвращать false, если используются туннели, чтобы проверки по ipv6 не производились. программа сделана для проверки провайдера, а не туннелей.",-1
"на всякий случай, чтобы внести максимальную ясность: 6to4 и teredo адреса не будут использоваться, если доступен нативный, и, соответственно, не определятся. ситуации, когда в системе есть рабочий нативный, но определился teredo или 6to4, быть в обычных условиях не может.",0
"они могут использоваться когда есть нативный, но на системе должны быть подправленны source address selection таблицы, опустим это как edge case, чтобы не усложнять код. поправлю возврат false тогда и исправлю выше комментарии",0
скобки тоже не нужны.,-1
"туннелей, описка.",0
и точка в конце!,0
"поправил, squash сами сделаете тогда? а то я вечно путаюсь с ним",0
"посмотрел рекомендации у гугла ecs (edns client subnet) говорят о /64 для ipv6, поменяю тогда все же",0
"/64 идентифицирует клиента (подсеть размером /64 предназначена для выдачи конечному клиенту). я бы использовал /56, но не знаю, насколько это правильно.",0
